0  -9.0984791e-005 -0.00028185214 0.0015612872   31033.437 30610.186 -31091.499  2 
0  5.8565793e-005 -0.0013936353 0.00030053861   124241.79 93819.883 -210.25403  3 
0  -7.0861821e-005 0.00050506609 0.00078606018   64613.628 -15097.67 -90496.161  4 
0  0.00014569734 0.0042309517 0.0030189501   65939.904 -105616.89 -7121.8736  4 
0  -0.00015101198 -0.002576984 -0.0032042622   529.40126 -10989.664 37929.022  3 
0  0.00011060351 0.00010249847 -0.0027602629   63695.235 -93588.13 -8427.6072  3 
0  -1.1363578e-005 -0.0012205023 -0.0040198618   75315.121 150.29146 30267.151  4 
0  4.8616398e-005 -0.0029605624 0.0028726175   27695.213 39379.156 48872.872  3 
0  0.00013599612 0.0017323269 0.0024286213   1999.8959 -38578.975 47098.813  2 
0  1.195875e-005 0.0021887892 -0.0013486876   4442.3111 100133.6 -1581.0086  2 
0  3.8676517e-005 -0.00014057548 -0.00044379804   5944.3792 53424.003 53810.897  2 
0  7.075511e-005 0.00098659725 0.00070388709   62548.955 -8415.1359 -102648.98  2 
0  3.7404111e-005 0.0018926311 -0.0040467449   39251.086 -22035.454 26048.965  2 
0  9.222507e-005 0.00031042708 -0.0019960302   3097.0286 -50931.537 -7438.1995  4 
0  -7.1371623e-005 -0.0020445227 -0.00091468464   366.70334 51163.266 -22920.503  4 
0  -0.00012293159 0.0016277202 -0.00025161941   12358.047 57815.755 -30786.417  4 
0  -8.3135057e-006 -0.0041392138 0.00072144932   32547.387 -27741.392 -17634.194  4 
0  0.00012298763 0.0040418485 0.00098554456   57298.42 77401.265 78377.095  2 
0  -2.0577811e-005 0.00012580833 -0.00055996716   78867.176 28826.431 -22271.269  3 
0  -1.1566519e-005 0.0015366572 -0.004801438   70541.006 74683.716 9663.8809  2 
0  -1.857442e-005 0.0021529949 0.00091560622   69190.479 32330.449 -86320.661  4 
0  -0.0001307843 -0.0020497584 -0.00098958611   20100.64 -8192.0946 14595.984  2 
0  7.124575e-005 -0.0016765406 -0.0020206645   19843.184 -29255.187 29519.285  3 
0  -8.2119384e-005 0.0020887567 -0.0015774916   79661.469 -48846.758 -58019.008  4 
0  -2.791716e-005 -0.0045625772 0.0020851613   83117.606 -13050.147 -1803.4747  3 
0  -9.1394608e-005 -0.00053831345 -0.0010181415   64633.448 -27712.733 -87625.822  4 
0  -5.3144318e-005 0.0025264001 -0.0016774314   80098.805 12445.756 48871.861  4 
0  -6.33867e-005 0.0008537749 -0.00046070178   15148.842 41465.174 -821.66388  2 
0  -0.0001427782 -0.0028543228 0.0017473787   83791.902 -11660.486 -15189.45  4 
0  -1.2031933e-005 -0.001893303 -0.0017841655   15621.392 -53228.894 70528.75  4 
0  -0.00019797487 -0.001213511 0.00059696229   31682.139 -10517.293 36385.458  3 
0  -0.00019090145 0.0018373622 -0.0014571142   933.18241 88191.542 -3115.4805  2 
0  0.00014492557 0.00031026149 -0.0012164801   9523.9683 1266.6196 -53419.55  4 
0  8.4257686e-005 0.0021310693 0.0024461766   10839.723 -84955.87 45260.958  4 
0  1.3053637e-005 0.0062530549 -0.0008228362   54792.036 13249.051 -6400.8996  4 
0  7.0612642e-005 -0.0025956673 -0.0011597078   31827.416 -164459.22 55588.081  4 
0  -5.4898453e-005 0.0011773433 0.0012447588   70678.232 13458.8 -26157.431  4 
0  -0.00010445084 -0.00085441063 0.00051042955   6902.1981 52299.961 -5992.7661  4 
0  8.6306477e-005 -0.0011119654 -0.0018855455   57382.542 46390.862 67240.314  3 
0  0.0001051979 0.0018509674 -0.0012784463   141668.66 -7269.3552 27203.218  3 
0  2.4682131e-005 -0.0023424664 -0.0011890407   22745.918 -90615.833 -3352.9592  2 
0  -0.00018394369 0.00013793906 0.0016853289   19045.196 -61803.894 73640.024  2 
0  -0.00010322745 -0.0024698197 0.0021690299   31876.21 -12814.915 -68222.042  4 
0  -7.2867493e-005 0.0022202792 -0.0011171683   18671.273 -56401.019 -33171.555  3 
0  -0.00015403158 4.7713702e-005 -0.00071331609   55820.824 -103939.32 -50790.729  4 
0  1.4380819e-005 0.0040570844 -0.00027478791   22974.082 -11305.495 32229.557  4 
0  -0.00010206339 -0.0017586839 -0.0038416266   8981.191 -10345.249 -6718.7769  2 
0  -2.5548271e-005 -0.0020974682 -0.00033731044   65986.171 -73111.75 -90304.263  2 
0  -5.423221e-005 -0.001493677 1.1758177e-005   100350.95 -77720.091 56568.864  2 
0  -5.95645e-005 0.00090271096 0.00044503696   43464.923 -45700.394 -93086.868  3 
0  -4.1030128e-005 0.0001630661 0.00095486496   8961.9633 33373.557 40302.087  3 
0  3.1480638e-005 0.00040487392 -0.0015373913   51346.271 12632.744 -99570.905  4 
0  2.1337907e-005 0.00050243692 -0.00073590265   48031.98 -21958.335 -85832.691  4 
0  1.3819517e-005 -0.00028829159 0.000418053   30684.957 -95969.814 -18381.563  4 
0  5.5544213e-005 -0.00042279592 0.0021852852   17753.654 41179.995 -68465.478  2 
0  -0.00016323099 0.0023617259 -0.0014764229   44566.209 -52417.62 -6150.6675  2 
0  -4.140017e-005 -7.9047732e-005 0.0010184813   16619.595 13976.724 -10746.458  2 
0  9.8489696e-005 -0.00018462722 0.0013594   42584.449 11049.534 -72900.473  4 
0  -0.00010970728 -0.00062071907 0.00062848938   11594.499 16912.878 35623.241  3 
0  -0.00011915391 0.0019094049 -0.0039034524   34076.33 -85890.398 -72543.8  2 
0  3.4539543e-005 0.00038411329 7.6490189e-006   47685.212 -26135.399 16043.026  2 
0  -0.0001386942 -0.00078519519 -0.0033903104   64859.354 -20078.72 -100796.39  2 
0  0.00012896301 0.003607513 -0.00055170854   30152.043 13376.848 32689.442  2 
0  0.00015784751 -0.0030160494 7.9619874e-005   54224.443 -34598.248 -19853.112  2 
0  3.4440951e-005 0.0018494439 0.004024464   102933.96 -12717.846 -17402.53  4 
